t,bear,bull
1,0.0982,0.9018
2,0.915,0.085
3,0.8966,0.1034
4,0.0924,0.9076
5,0.6762,0.3238
6,0.351,0.649
7,0.3526,0.6474
8,0.2308,0.7692
9,0.329,0.671
10,0.1684,0.8316
11,0.1534,0.8466
12,0.8862,0.1138
13,0.0932,0.9068
14,0.9216,0.0784
15,0.0958,0.9042
16,0.086,0.914
17,0.0808,0.9192
18,0.9248,0.0752
19,0.0844,0.9156
20,0.1032,0.8968
21,0.0846,0.9154
22,0.9264,0.0736
23,0.076,0.924
24,0.0716,0.9284
25,0.1102,0.8898
26,0.1022,0.8978
27,0.0858,0.9142
28,0.0712,0.9288
29,0.0808,0.9192
30,0.073,0.927
31,0.0684,0.9316
32,0.9332,0.0668
33,0.0576,0.9424
34,0.9348,0.0652
35,0.066,0.934
36,0.0662,0.9338
37,0.0956,0.9044
38,0.0728,0.9272
39,0.055,0.945
40,0.9106,0.0894
41,0.0688,0.9312
42,0.0638,0.9362
43,0.061,0.939
44,0.0554,0.9446
45,0.9364,0.0636
46,0.941,0.059
47,0.0556,0.9444
48,0.1008,0.8992
49,0.924,0.076
50,0.1664,0.8336
51,0.1648,0.8352
52,0.1088,0.8912
53,0.066,0.934
54,0.9176,0.0824
55,0.9442,0.0558
56,0.79,0.21
57,0.5432,0.4568
58,0.7516,0.2484
59,0.2238,0.7762
60,0.1956,0.8044
61,0.1082,0.8918
62,0.9158,0.0842
63,0.819,0.181
64,0.7316,0.2684
65,0.4756,0.5244
66,0.2324,0.7676
67,0.173,0.827
68,0.2012,0.7988
69,0.3448,0.6552
70,0.5718,0.4282
71,0.7774,0.2226
72,0.7468,0.2532
73,0.5694,0.4306
74,0.8486,0.1514
75,0.683,0.317
76,0.8742,0.1258
77,0.8828,0.1172
78,0.8814,0.1186
79,0.2102,0.7898
80,0.6514,0.3486
81,0.587,0.413
82,0.3666,0.6334
83,0.6518,0.3482
84,0.5652,0.4348
85,0.4176,0.5824
86,0.3302,0.6698
87,0.788,0.212
88,0.8562,0.1438
89,0.8362,0.1638
90,0.9204,0.0796
91,0.911,0.089
92,0.9074,0.0926
93,0.7684,0.2316
94,0.7002,0.2998
95,0.8898,0.1102
96,0.89,0.11
97,0.9264,0.0736
98,0.06,0.94
99,0.8402,0.1598
100,0.6662,0.3338
101,0.439,0.561
102,0.8258,0.1742
103,0.847,0.153
104,0.672,0.328
105,0.4596,0.5404
106,0.7656,0.2344
107,0.2902,0.7098
108,0.184,0.816
109,0.1788,0.8212
110,0.8556,0.1444
111,0.127,0.873
112,0.1022,0.8978
113,0.2606,0.7394
114,0.8472,0.1528
115,0.2562,0.7438
116,0.6416,0.3584
117,0.4434,0.5566
118,0.5246,0.4754
119,0.346,0.654
120,0.8072,0.1928
121,0.1448,0.8552
122,0.0968,0.9032
123,0.102,0.898
124,0.9164,0.0836
125,0.095,0.905
126,0.087,0.913
127,0.0942,0.9058
128,0.0852,0.9148
129,0.1186,0.8814
130,0.1222,0.8778
131,0.1272,0.8728
132,0.1134,0.8866
133,0.116,0.884
134,0.0856,0.9144
135,0.0772,0.9228
136,0.8788,0.1212
137,0.1174,0.8826
138,0.1798,0.8202
139,0.106,0.894
140,0.109,0.891
141,0.111,0.889
142,0.0856,0.9144
143,0.2576,0.7424
144,0.1746,0.8254
145,0.1018,0.8982
146,0.072,0.928
147,0.141,0.859
148,0.2484,0.7516
149,0.199,0.801
150,0.6298,0.3702
151,0.4746,0.5254
152,0.2864,0.7136
153,0.1682,0.8318
154,0.1102,0.8898
155,0.8706,0.1294
156,0.0816,0.9184
157,0.0778,0.9222
158,0.113,0.887
159,0.9116,0.0884
160,0.9226,0.0774
161,0.0776,0.9224
162,0.0752,0.9248
163,0.072,0.928
