g_idx,L,C,lambda,c_mult,z,V_s1,R_s1,V_s2,R_s2,V_s3,R_s3,V_s4,R_s4,V_s5,R_s5,avg_regret,max_regret
0,L1,C1,0.05,0.5,0.6283710640479673,10245.03,1007.37,18846.48,112.62,3172.58,7022.04,10895.38,4707.74,8460.22,8012.16,4172.39,8012.16
1,L1,C2,0.05,1.0,0.6246245557084104,10245.01,1007.39,18846.49,112.61,3172.56,7022.06,10895.33,4707.79,8460.18,8012.21,4172.41,8012.21
2,L1,C3,0.05,2.0,0.6171214802396952,10245.04,1007.36,18846.49,112.62,3172.58,7022.04,10895.37,4707.75,8460.22,8012.16,4172.39,8012.16
3,L2,C1,0.1,0.5,0.5765541911122827,10245.01,1007.39,18846.49,112.61,3172.56,7022.06,10895.33,4707.79,8460.18,8012.21,4172.41,8012.21
4,L2,C2,0.1,1.0,0.5728041935706165,10245.01,1007.39,18846.49,112.61,3172.56,7022.06,10895.33,4707.79,8460.18,8012.21,4172.41,8012.21
5,L2,C3,0.1,2.0,0.5653041751617485,10245.01,1007.39,18846.49,112.61,3172.56,7022.06,10895.33,4707.79,8460.18,8012.21,4172.41,8012.21
6,L3,C1,0.2,0.5,0.4760677965184264,10554.9,697.5,18870.29,88.81,3669.82,6524.8,11708.32,3894.8,9155.86,7316.53,3704.49,7316.53
7,L3,C2,0.2,1.0,0.4713066270632533,10390.2,862.19,18959.1,0.0,3612.05,6582.57,11485.95,4117.17,9118.36,7354.03,3783.19,7354.03
8,L3,C3,0.2,2.0,0.46429569535830556,10751.8,500.6,18611.84,347.27,3896.44,6298.18,11848.32,3754.8,9576.66,6895.73,3559.32,6895.73
9,L4,C1,0.5,0.5,0.35400054675413895,10986.22,266.18,15714.51,3244.6,7966.02,2228.6,14807.15,795.98,14591.94,1880.45,1683.16,3244.6
10,L4,C2,0.5,1.0,0.35256924725696037,11222.9,29.5,15732.73,3226.37,8136.05,2058.57,14830.46,772.67,14651.56,1820.82,1581.58,3226.37
11,L4,C3,0.5,2.0,0.350652018232411,11252.4,0.0,15819.66,3139.45,8041.76,2152.85,14822.76,780.36,14581.97,1890.42,1592.62,3139.45
12,L5,C1,1.0,0.5,0.28470876063535333,10599.7,652.69,13708.12,5250.99,10194.62,0.0,15583.52,19.61,16457.49,14.9,1187.64,5250.99
13,L5,C2,1.0,1.0,0.28226044540179374,10613.58,638.82,13775.37,5183.74,10167.31,27.31,15579.33,23.8,16471.59,0.8,1174.89,5183.74
14,L5,C3,1.0,2.0,0.2776307259772273,10643.81,608.59,13842.83,5116.28,10120.5,74.12,15603.12,0.0,16472.39,0.0,1159.8,5116.28
