lambda,m,s,V,z
0.3,0.1,0,3995.6963,0.48010415800776607
0.3,0.1,1,5987.723,0.48010415800776607
0.3,0.1,2,14980.355,0.48010415800776607
0.3,0.1,3,24617.963,0.48010415800776607
0.3,0.1,4,57438.586,0.48010415800776607
0.3,0.5,0,4131.371,0.4787135758418206
0.3,0.5,1,5877.69,0.4787135758418206
0.3,0.5,2,14890.458,0.4787135758418206
0.3,0.5,3,25437.777,0.4787135758418206
0.3,0.5,4,56074.902,0.4787135758418206
0.3,1.0,0,4144.897,0.47776820228010886
0.3,1.0,1,5872.107,0.47776820228010886
0.3,1.0,2,15205.263,0.47776820228010886
0.3,1.0,3,25939.541,0.47776820228010886
0.3,1.0,4,55298.465,0.47776820228010886
0.9,0.1,0,5811.9146,0.407785275279532
0.9,0.1,1,8664.408,0.407785275279532
0.9,0.1,2,14478.943,0.407785275279532
0.9,0.1,3,19586.953,0.407785275279532
0.9,0.1,4,33699.64,0.407785275279532
0.9,0.5,0,5873.6353,0.40710356160371386
0.9,0.5,1,8622.206,0.40710356160371386
0.9,0.5,2,14373.738,0.40710356160371386
0.9,0.5,3,19807.014,0.40710356160371386
0.9,0.5,4,33468.64,0.40710356160371386
0.9,1.0,0,5872.124,0.40650552524087646
0.9,1.0,1,8605.019,0.40650552524087646
0.9,1.0,2,14409.569,0.40650552524087646
0.9,1.0,3,19905.37,0.40650552524087646
0.9,1.0,4,33457.062,0.40650552524087646
1.2,0.1,0,6058.062,0.41222462554167905
1.2,0.1,1,9024.215,0.41222462554167905
1.2,0.1,2,14343.398,0.41222462554167905
1.2,0.1,3,18922.705,0.41222462554167905
1.2,0.1,4,31328.572,0.41222462554167905
1.2,0.5,0,6105.569,0.41144442732367176
1.2,0.5,1,8991.892,0.41144442732367176
1.2,0.5,2,14263.1,0.41144442732367176
1.2,0.5,3,19087.5,0.41144442732367176
1.2,0.5,4,31166.678,0.41144442732367176
1.2,1.0,0,6106.028,0.41067552165331217
1.2,1.0,1,8977.61,0.41067552165331217
1.2,1.0,2,14291.4,0.41067552165331217
1.2,1.0,3,19159.086,0.41067552165331217
1.2,1.0,4,31156.05,0.41067552165331217
1.5,0.1,0,6207.739,0.4221028227227521
1.5,0.1,1,9242.102,0.4221028227227521
1.5,0.1,2,14255.385,0.4221028227227521
1.5,0.1,3,18523.717,0.4221028227227521
1.5,0.1,4,29968.088,0.4221028227227521
1.5,0.5,0,6246.4697,0.4212645985360103
1.5,0.5,1,9215.752,0.4212645985360103
1.5,0.5,2,14190.448,0.4212645985360103
1.5,0.5,3,18655.824,0.4212645985360103
1.5,0.5,4,29843.375,0.4212645985360103
1.5,1.0,0,6246.819,0.4203915239226462
1.5,1.0,1,9204.343,0.4203915239226462
1.5,1.0,2,14212.313,0.4203915239226462
1.5,1.0,3,18714.232,0.4203915239226462
1.5,1.0,4,29831.994,0.4203915239226462
1.8,0.1,0,6308.581,0.43470049461915633
1.8,0.1,1,9387.945,0.43470049461915633
1.8,0.1,2,14194.237,0.43470049461915633
1.8,0.1,3,18257.682,0.43470049461915633
1.8,0.1,4,29086.678,0.43470049461915633
1.8,0.5,0,6340.9463,0.4338237497742198
1.8,0.5,1,9365.856,0.4338237497742198
1.8,0.5,2,14139.2,0.4338237497742198
1.8,0.5,3,18368.654,0.4338237497742198
1.8,0.5,4,28984.893,0.4338237497742198
1.8,1.0,0,6342.0225,0.4328812432977661
1.8,1.0,1,9355.678,0.4328812432977661
1.8,1.0,2,14157.7705,0.4328812432977661
1.8,1.0,3,18417.398,0.4328812432977661
1.8,1.0,4,28974.314,0.4328812432977661
