t,ret_semanal_cmc200
1,0.349276541
2,-0.095864271
3,-0.140068143
4,0.150947101
5,0.116485141
6,0.221237077
7,0.149792015
8,-0.219649001
9,0.067759252
10,0.146407424
11,0.035002412
12,-0.06367824
13,0.092868877
14,0.021270004
15,0.122400003
16,-0.180789209
17,0.139410389
18,0.096646723
19,-0.047416385
20,-0.409218863
21,-0.033776816
22,0.095500367
23,-0.074117627
24,-0.04072756
25,-0.135941397
26,0.056090888
27,0.025206325
28,-0.093433184
29,0.039525879
30,0.184867126
31,0.086346011
32,0.127863798
33,0.038828268
34,0.001494772
35,0.058611766
36,-0.139240304
37,0.048984133
38,-0.108130098
39,0.104184208
40,0.096757366
41,0.097367396
42,0.000718137
43,0.052306837
44,-0.002277772
45,0.040867628
46,-0.091488073
47,-0.055589135
48,0.001126301
49,-0.099396014
50,-0.040985031
51,0.080870158
52,-0.099376704
53,-0.115365566
54,-0.001401034
55,-0.192590314
56,0.006013628
57,0.092465464
58,0.030311465
59,-0.057174831
60,-0.032442887
61,-0.003271026
62,-0.017454325
63,0.086716134
64,0.068548782
65,0.064132243
66,-0.078167542
67,-0.068671702
68,-0.0120605
69,-0.039254316
70,-0.061926361
71,-0.219034744
72,-0.033462154
73,-0.038477153
74,0.024909556
75,-0.021534003
76,-0.360164909
77,0.053598609
78,-0.093588133
79,0.114975432
80,-0.029175286
81,0.106001095
82,0.078128215
83,-0.033271826
84,0.074417098
85,-0.128990825
86,-0.040322257
87,-0.024968365
88,0.076191957
89,-0.105241668
90,-0.055523823
91,0.020221485
92,0.004506229
93,-0.026885929
94,0.00362742
95,0.109926967
96,0.037602099
97,-0.241342806
98,-0.020165243
99,-0.001337291
100,0.041615438
101,-0.003746598
102,-0.053983585
103,0.01877467
104,-0.016683357
105,0.03292587
106,0.147650125
107,0.117123147
108,0.015678473
109,0.023093128
110,-0.084787417
111,0.129141849
112,-0.06225281
113,-0.035994815
114,-0.098652232
115,0.250483097
116,0.001845732
117,0.049755034
118,-0.003024976
119,0.093923421
120,-0.119140643
121,0.057862444
122,0.017601132
123,-0.109416325
124,0.016278031
125,0.001586584
126,0.025253985
127,-0.03695415
128,-0.025393337
129,0.141382594
130,-0.003228501
131,-0.01148978
132,0.005599351
133,-0.008639853
134,-0.015043398
135,-0.01687817
136,0.010539424
137,-0.117255279
138,-0.003152145
139,-0.010293641
140,0.005724189
141,0.012661372
142,-0.001114466
143,0.02245805
144,0.024508248
145,-0.047629863
146,0.080622481
147,0.121575927
148,0.027952454
149,0.079120144
150,-0.026192022
151,0.045846045
152,0.015220005
153,0.135245616
154,-0.049340915
155,0.034993962
156,-0.03106949
157,0.020682811
158,0.022335745
159,-0.035719628
160,-0.016071101
161,0.021949826
162,0.091599732
163,0.091599732
